Date,Open,High,Low,Close,Adj Close,Volume
2019-08-26,6193.230957,6230.314941,6149.02002,6214.509766,6214.509766,120581400
2019-08-27,6244.573242,6289.884766,6223.744141,6278.170898,6278.170898,117748900
2019-08-28,6289.650879,6306.329102,6267.194824,6281.645996,6281.645996,107048900
2019-08-29,6288.186035,6306.895996,6276.420898,6289.119141,6289.119141,111978400
2019-08-30,6316.119141,6329.883789,6305.037109,6328.470215,6328.470215,132856400
2019-09-02,6331.147949,6338.112793,6281.60498,6290.545898,6290.545898,126521700
2019-09-03,6293.361816,6310.630859,6248.796875,6261.589844,6261.589844,122848800
2019-09-04,6266.76416,6273.604004,6239.000977,6269.664063,6269.664063,111903900
2019-09-05,6294.283203,6307.348145,6281.954102,6306.803223,6306.803223,110321300
2019-09-06,6329.412109,6336.912109,6305.01709,6308.950195,6308.950195,114218400
2019-09-09,6328.282227,6333.896973,6306.73584,6326.212891,6326.212891,109132800
2019-09-10,6331.726074,6342.005859,6311.34082,6336.672852,6336.672852,113186400
2019-09-11,6334.591797,6381.954102,6328.687988,6381.954102,6381.954102,136654000
2019-09-12,6398.995117,6414.483887,6337.523926,6342.173828,6342.173828,111986600
2019-09-13,6369.422852,6375.804199,6318.919922,6334.842773,6334.842773,106712000
2019-09-16,6262.288086,6266.140137,6193.513184,6219.435059,6219.435059,102809600
2019-09-17,6215.236816,6240.348145,6205.301758,6236.689941,6236.689941,112446500
2019-09-18,6238.705078,6276.632813,6236.476074,6276.632813,6276.632813,108718500
2019-09-19,6274.178223,6282.062988,6242.893066,6244.470215,6244.470215,106914500
2019-09-20,6248.974121,6256.821777,6213.243164,6231.473145,6231.473145,134219300
2019-09-23,6240.144043,6247.577148,6197.388184,6206.199219,6206.199219,118747800
2019-09-24,6188.769043,6194.589844,6115.950195,6137.60791,6137.60791,90097100
2019-09-25,6121.490234,6146.403809,6086.001953,6146.403809,6146.403809,91732400
2019-09-26,6168.667969,6230.333984,6165.925781,6230.333984,6230.333984,105163800
2019-09-27,6213.932129,6219.77002,6191.664063,6196.88916,6196.88916,112420600
2019-09-30,6190.37207,6195.728027,6152.496094,6169.102051,6169.102051,93299700
2019-10-01,6163.979004,6176.605957,6134.77002,6138.25,6138.25,99171900
2019-10-02,6124.442871,6153.996094,6051.687988,6055.424805,6055.424805,116223100
2019-10-03,6033.026855,6050.604004,5997.691895,6038.528809,6038.528809,121133700
2019-10-04,6052.74707,6076.560059,6046.129883,6061.251953,6061.251953,111920200
2019-10-07,6077.740234,6084.165039,5988.87207,6000.582031,6000.582031,127549800
2019-10-08,6021.692871,6046.458008,6009.381836,6039.601074,6039.601074,124640500
2019-10-09,6030.458984,6047.792969,6017.359863,6029.160156,6029.160156,111759600
2019-10-10,6023.976074,6044.11377,6018.445801,6023.641113,6023.641113,89240100
2019-10-11,6033.321777,6109.118164,6033.321777,6105.799805,6105.799805,105411100
2019-10-14,6129.233887,6153.578125,6099.23877,6126.876953,6126.876953,118521000
2019-10-15,6130.299805,6158.166016,6118.262207,6158.166016,6158.166016,118739300
2019-10-16,6170.562012,6183.583984,6143.846191,6169.591797,6169.591797,114463100
2019-10-17,6169.903809,6197.935059,6161.39209,6181.01416,6181.01416,119164000
2019-10-18,6185.214844,6201.174805,6178.498047,6191.946777,6191.946777,125611600
2019-10-21,6207.88916,6228.227051,6187.36084,6198.986816,6198.986816,146413800
2019-10-22,6207.492188,6229.398926,6178.555176,6225.49707,6225.49707,114083500
2019-10-23,6224.417969,6257.806152,6197.954102,6257.806152,6257.806152,135886700
2019-10-24,6271.51416,6339.646973,6270.186035,6339.646973,6339.646973,130619300
2019-10-25,6342.608887,6348.314941,6243.246094,6252.345215,6252.345215,151346100
2019-10-28,6256.790039,6278.163086,6243.349121,6265.383789,6265.383789,145042900
2019-10-29,6267.680176,6281.138184,6245.937988,6281.138184,6281.138184,148492100
2019-10-30,6302.087891,6304.049805,6264.938965,6295.74707,6295.74707,139603200
2019-10-31,6290.566895,6301.592773,6216.290039,6228.316895,6228.316895,163955700
2019-11-01,6225.814941,6228.411133,6193.887207,6207.190918,6207.190918,142104600
2019-11-04,6219.126953,6242.083984,6180.344238,6180.344238,6180.344238,103975100
2019-11-05,6204.438965,6264.151855,6195.304199,6264.151855,6264.151855,95988100
2019-11-06,6273.917969,6274.291992,6198.496094,6217.544922,6217.544922,70278100
2019-11-07,6234.604004,6235.638184,6119.420898,6165.624023,6165.624023,67284200
2019-11-08,6165.766113,6180.199219,6139.823242,6177.98584,6177.98584,60698400
2019-11-11,6171.437012,6182.815918,6127.876953,6148.740234,6148.740234,47286600
2019-11-12,6135.493164,6180.992188,6133.53418,6180.992188,6180.992188,57719100
2019-11-13,6177.660156,6183.827148,6132.25293,6142.500977,6142.500977,51900400
2019-11-14,6137.535156,6146.397949,6062.97998,6098.950195,6098.950195,72169800
2019-11-15,6115.758789,6137.355957,6092.616211,6128.345215,6128.345215,46157800
