Date,Open,High,Low,Close,Adj Close,Volume
2018-11-20,8400.000000,8400.000000,8400.000000,8400.000000,8203.391602,0
2018-11-21,8150.000000,8300.000000,8150.000000,8250.000000,8056.902344,32954700
2018-11-22,8200.000000,8450.000000,8175.000000,8400.000000,8203.391602,23435600
2018-11-23,8425.000000,8500.000000,8350.000000,8425.000000,8227.806641,8195200
2018-11-26,8425.000000,8500.000000,8350.000000,8425.000000,8227.806641,14709900
2018-11-27,8325.000000,8675.000000,8325.000000,8650.000000,8447.540039,40949200
2018-11-28,8750.000000,8750.000000,8500.000000,8550.000000,8349.880859,27257700
2018-11-29,8650.000000,9050.000000,8650.000000,8775.000000,8569.614258,45005100
2018-11-30,8650.000000,8775.000000,8450.000000,8500.000000,8301.050781,61222500
2018-12-03,8700.000000,8850.000000,8700.000000,8750.000000,8545.199219,36429900
2018-12-04,8550.000000,8825.000000,8550.000000,8800.000000,8594.029297,18719100
2018-12-05,8600.000000,8775.000000,8550.000000,8750.000000,8545.199219,18095600
2018-12-06,8650.000000,8675.000000,8525.000000,8650.000000,8447.540039,28786900
2018-12-07,8550.000000,8625.000000,8450.000000,8575.000000,8374.294922,19653100
2018-12-10,8450.000000,8600.000000,8425.000000,8575.000000,8374.294922,11322800
2018-12-11,8575.000000,8600.000000,8450.000000,8450.000000,8252.220703,18484800
2018-12-12,8500.000000,8550.000000,8425.000000,8450.000000,8252.220703,22598000
2018-12-13,8450.000000,8725.000000,8425.000000,8550.000000,8349.880859,34065100
2018-12-14,8500.000000,8650.000000,8475.000000,8600.000000,8398.709961,20191000
2018-12-17,8600.000000,8600.000000,8450.000000,8575.000000,8374.294922,21389900
2018-12-18,8550.000000,8650.000000,8475.000000,8625.000000,8423.125000,15900900
2018-12-19,8675.000000,8725.000000,8625.000000,8700.000000,8496.369141,24321400
2018-12-20,8650.000000,8750.000000,8625.000000,8675.000000,8471.955078,14764800
2018-12-21,8600.000000,8700.000000,8600.000000,8675.000000,8471.955078,16475800
2018-12-24,8675.000000,8675.000000,8675.000000,8675.000000,8471.955078,0
2018-12-25,8675.000000,8675.000000,8675.000000,8675.000000,8471.955078,0
2018-12-26,8600.000000,8775.000000,8575.000000,8700.000000,8496.369141,12889100
2018-12-27,8800.000000,8800.000000,8700.000000,8800.000000,8594.029297,15964900
2018-12-28,8825.000000,8825.000000,8750.000000,8800.000000,8594.029297,16215800
2018-12-31,8800.000000,8800.000000,8800.000000,8800.000000,8594.029297,0
2019-01-01,8800.000000,8800.000000,8800.000000,8800.000000,8594.029297,0
2019-01-02,8800.000000,8800.000000,8675.000000,8725.000000,8520.784180,7840600
2019-01-03,8675.000000,8775.000000,8650.000000,8725.000000,8520.784180,10708300
2019-01-04,8725.000000,8800.000000,8675.000000,8725.000000,8520.784180,20539300
