Date,Open,High,Low,Close,Adj Close,Volume
2019-06-25,8025.000000,8025.000000,7925.000000,7950.000000,7950.000000,29651600
2019-06-26,7850.000000,8000.000000,7850.000000,7950.000000,7950.000000,36057600
2019-06-27,7975.000000,8050.000000,7975.000000,8000.000000,8000.000000,31576000
2019-06-28,8025.000000,8050.000000,7975.000000,8025.000000,8025.000000,30944000
2019-07-01,8050.000000,8075.000000,7975.000000,8000.000000,8000.000000,30727800
2019-07-02,8050.000000,8050.000000,7975.000000,8025.000000,8025.000000,32437800
2019-07-03,7950.000000,8025.000000,7950.000000,8025.000000,8025.000000,46966800
2019-07-04,8050.000000,8050.000000,8000.000000,8025.000000,8025.000000,15789300
2019-07-05,7925.000000,8025.000000,7725.000000,7825.000000,7825.000000,93378100
2019-07-08,7750.000000,7875.000000,7725.000000,7875.000000,7875.000000,52952800
2019-07-09,7825.000000,7925.000000,7800.000000,7900.000000,7900.000000,44295400
2019-07-10,7950.000000,8000.000000,7925.000000,7950.000000,7950.000000,50482300
2019-07-11,8025.000000,8050.000000,7975.000000,8000.000000,8000.000000,35115600
2019-07-12,8050.000000,8125.000000,8025.000000,8075.000000,8075.000000,36737000
2019-07-15,8150.000000,8175.000000,8100.000000,8150.000000,8150.000000,44722400
2019-07-16,8075.000000,8125.000000,7975.000000,8075.000000,8075.000000,73313200
2019-07-17,8000.000000,8050.000000,7950.000000,7975.000000,7975.000000,64115500
2019-07-18,7900.000000,7950.000000,7825.000000,7850.000000,7850.000000,71131000
2019-07-19,7800.000000,7900.000000,7800.000000,7875.000000,7875.000000,52265000
2019-07-22,7800.000000,7825.000000,7750.000000,7775.000000,7775.000000,41425500
2019-07-23,7825.000000,7850.000000,7700.000000,7700.000000,7700.000000,37490900
2019-07-24,7700.000000,7825.000000,7700.000000,7700.000000,7700.000000,32782900
2019-07-25,7725.000000,7800.000000,7700.000000,7800.000000,7800.000000,38731000
2019-07-26,7650.000000,7775.000000,7625.000000,7750.000000,7750.000000,31363700
2019-07-29,7825.000000,7825.000000,7675.000000,7800.000000,7800.000000,27603200
2019-07-30,7800.000000,7975.000000,7725.000000,7950.000000,7950.000000,43537800
2019-07-31,7875.000000,7975.000000,7800.000000,7975.000000,7975.000000,29504400
2019-08-01,7875.000000,7900.000000,7725.000000,7775.000000,7775.000000,48365500
2019-08-02,7700.000000,7750.000000,7600.000000,7675.000000,7675.000000,51863500
2019-08-05,7600.000000,7650.000000,7325.000000,7425.000000,7425.000000,64931300
2019-08-06,7300.000000,7400.000000,7100.000000,7250.000000,7250.000000,78566200
2019-08-07,7275.000000,7400.000000,7275.000000,7350.000000,7350.000000,51966400
2019-08-08,7450.000000,7525.000000,7350.000000,7500.000000,7500.000000,42855900
2019-08-09,7500.000000,7550.000000,7450.000000,7450.000000,7450.000000,19508800
2019-08-12,7500.000000,7500.000000,7350.000000,7400.000000,7400.000000,34628300
2019-08-13,7550.000000,7550.000000,7300.000000,7350.000000,7350.000000,34033900
2019-08-14,7500.000000,7525.000000,7350.000000,7500.000000,7500.000000,53806500
2019-08-15,7350.000000,7400.000000,7300.000000,7400.000000,7400.000000,28728200
2019-08-16,7400.000000,7425.000000,7325.000000,7375.000000,7375.000000,23846500
2019-08-19,7450.000000,7450.000000,7325.000000,7350.000000,7350.000000,19275600
2019-08-20,7425.000000,7450.000000,7300.000000,7375.000000,7375.000000,37698100
2019-08-21,7325.000000,7350.000000,7225.000000,7225.000000,7225.000000,24920700
2019-08-22,7300.000000,7325.000000,7150.000000,7225.000000,7225.000000,38826400
2019-08-23,7250.000000,7250.000000,7150.000000,7175.000000,7175.000000,22267900
2019-08-26,7100.000000,7100.000000,7000.000000,7050.000000,7050.000000,39307300
2019-08-27,7050.000000,7125.000000,7025.000000,7025.000000,7025.000000,76600800
2019-08-28,7025.000000,7100.000000,6950.000000,7050.000000,7050.000000,48041200
2019-08-29,7050.000000,7100.000000,7025.000000,7075.000000,7075.000000,31874400
2019-08-30,7125.000000,7250.000000,7075.000000,7250.000000,7250.000000,53185300
2019-09-02,7225.000000,7225.000000,7125.000000,7175.000000,7175.000000,18811100
2019-09-03,7175.000000,7200.000000,6825.000000,6900.000000,6900.000000,48499100
2019-09-04,6975.000000,6975.000000,6850.000000,6925.000000,6925.000000,37217300
2019-09-05,7000.000000,7025.000000,6925.000000,6975.000000,6975.000000,39321400
2019-09-06,7025.000000,7150.000000,6975.000000,7050.000000,7050.000000,44323000
2019-09-09,7075.000000,7075.000000,6925.000000,6975.000000,6975.000000,27920700
2019-09-10,6900.000000,7050.000000,6900.000000,7050.000000,7050.000000,26035200
2019-09-11,7000.000000,7150.000000,6950.000000,7150.000000,7150.000000,40388900
2019-09-12,7250.000000,7325.000000,7100.000000,7150.000000,7150.000000,42282300
2019-09-13,7225.000000,7250.000000,7125.000000,7200.000000,7200.000000,14350100
2019-09-16,7050.000000,7100.000000,6925.000000,7000.000000,7000.000000,33307900
2019-09-17,6925.000000,7100.000000,6925.000000,6975.000000,6975.000000,35496100
2019-09-18,7075.000000,7200.000000,7050.000000,7200.000000,7200.000000,26854200
2019-09-19,7175.000000,7175.000000,7075.000000,7100.000000,7100.000000,17970800
2019-09-20,7100.000000,7150.000000,6975.000000,7075.000000,7075.000000,52371700
2019-09-23,7050.000000,7100.000000,6950.000000,7000.000000,7000.000000,24506300
2019-09-24,6925.000000,6975.000000,6850.000000,6950.000000,6950.000000,26055000
2019-09-25,6975.000000,7000.000000,6875.000000,6900.000000,6900.000000,18782700
2019-09-26,7000.000000,7100.000000,6950.000000,7100.000000,7100.000000,22735700
2019-09-27,7000.000000,7050.000000,6950.000000,6975.000000,6975.000000,22164700
2019-09-30,6900.000000,6975.000000,6900.000000,6975.000000,6975.000000,29147000
2019-10-01,6900.000000,7050.000000,6900.000000,6900.000000,6900.000000,15621700
2019-10-02,6875.000000,6950.000000,6500.000000,6525.000000,6525.000000,64793100
2019-10-03,6525.000000,6525.000000,6275.000000,6400.000000,6400.000000,73394500
2019-10-04,6450.000000,6525.000000,6325.000000,6400.000000,6400.000000,34560900
2019-10-07,6475.000000,6475.000000,6325.000000,6350.000000,6350.000000,18328200
2019-10-08,6350.000000,6500.000000,6350.000000,6500.000000,6500.000000,52496000
2019-10-09,6450.000000,6475.000000,6400.000000,6425.000000,6425.000000,27565700
2019-10-10,6425.000000,6600.000000,6425.000000,6525.000000,6525.000000,60127700
2019-10-11,6500.000000,6650.000000,6475.000000,6550.000000,6550.000000,48408200
2019-10-14,6625.000000,6675.000000,6500.000000,6600.000000,6600.000000,32636400
2019-10-15,6550.000000,6600.000000,6500.000000,6575.000000,6575.000000,47069800
2019-10-16,6600.000000,6650.000000,6550.000000,6625.000000,6625.000000,59486900
2019-10-17,6625.000000,6700.000000,6625.000000,6700.000000,6700.000000,75018900
2019-10-18,6675.000000,6875.000000,6650.000000,6775.000000,6775.000000,58772200
2019-10-21,6800.000000,6825.000000,6700.000000,6800.000000,6800.000000,41811400
2019-10-22,6850.000000,6850.000000,6750.000000,6825.000000,6825.000000,31025100
2019-10-23,6825.000000,7100.000000,6750.000000,7075.000000,7075.000000,49220200
2019-10-24,7125.000000,7250.000000,7075.000000,7225.000000,7225.000000,66398600
2019-10-25,7275.000000,7275.000000,6975.000000,7000.000000,7000.000000,52867600
2019-10-28,7000.000000,7075.000000,6925.000000,7000.000000,7000.000000,23194800
2019-10-29,7100.000000,7150.000000,7000.000000,7100.000000,7100.000000,45867700
2019-10-30,7075.000000,7075.000000,6975.000000,7025.000000,7025.000000,23833600
2019-10-31,7050.000000,7050.000000,6900.000000,7025.000000,7025.000000,39080000
2019-11-01,7025.000000,7025.000000,6925.000000,6975.000000,6975.000000,12183400
2019-11-04,7000.000000,7025.000000,6875.000000,6875.000000,6875.000000,28292400
2019-11-05,6950.000000,7200.000000,6925.000000,7200.000000,7200.000000,47126500
2019-11-06,7175.000000,7200.000000,6825.000000,6975.000000,6975.000000,56587600
2019-11-07,7025.000000,7025.000000,6775.000000,7000.000000,7000.000000,39376800
2019-11-08,6975.000000,7150.000000,6850.000000,7100.000000,7100.000000,38177500
2019-11-11,7075.000000,7100.000000,6975.000000,7050.000000,7050.000000,22606000
2019-11-12,7000.000000,7100.000000,6925.000000,7025.000000,7025.000000,26450400
2019-11-13,7000.000000,7000.000000,6775.000000,6875.000000,6875.000000,37574200
2019-11-14,6875.000000,6900.000000,6700.000000,6875.000000,6875.000000,33349300
2019-11-15,6925.000000,7025.000000,6925.000000,6950.000000,6950.000000,23508600
2019-11-18,6950.000000,7025.000000,6875.000000,6975.000000,6975.000000,30643500
2019-11-19,7025.000000,7150.000000,6950.000000,7150.000000,7150.000000,33503100
2019-11-20,7150.000000,7200.000000,7050.000000,7100.000000,7100.000000,23363800
2019-11-21,7000.000000,7200.000000,6950.000000,7175.000000,7175.000000,30472300
2019-11-22,7100.000000,7175.000000,7050.000000,7075.000000,7075.000000,20226400
